國家/入境機場,成田,羽田,關西,其他,無回答,合計,標本數
全體,60.90 ,25.80 ,9.70 ,2.70 ,0.90 ,100.00 ,12797.00 
韓國,67.40 ,29.30 ,1.60 ,1.10 ,0.70 ,100.00 ,1917.00 
台灣,77.90 ,17.60 ,2.00 ,1.60 ,0.90 ,100.00 ,1819.00 
中國,41.20 ,30.20 ,22.90 ,4.50 ,1.20 ,100.00 ,2561.00 
香港,75.10 ,20.00 ,2.40 ,1.20 ,1.30 ,100.00 ,926.00 
泰國,76.20 ,16.40 ,3.70 ,1.80 ,1.90 ,100.00 ,742.00 
新加坡,44.60 ,45.60 ,8.00 ,0.90 ,0.90 ,100.00 ,330.00 
馬來西亞,78.00 ,4.40 ,15.90 ,0.60 ,1.10 ,100.00 ,278.00 
美國,66.00 ,28.00 ,4.80 ,0.90 ,0.30 ,100.00 ,1211.00 
加拿大,57.00 ,38.00 ,3.20 ,1.20 ,0.70 ,100.00 ,272.00 
英國,46.30 ,46.80 ,6.20 ,0.30 ,0.40 ,100.00 ,300.00 
德國,50.10 ,42.60 ,6.00 ,1.20 ,0.00 ,100.00 ,196.00 
法國,45.50 ,46.90 ,5.30 ,1.90 ,0.30 ,100.00 ,264.00 
意大利,63.00 ,27.20 ,8.00 ,0.00 ,1.80 ,100.00 ,196.00 
西班牙,55.70 ,31.80 ,9.20 ,1.40 ,1.90 ,100.00 ,208.00 
澳大利亞,68.60 ,19.90 ,9.70 ,1.50 ,0.30 ,100.00 ,424.00 
印度,91.80 ,3.00 ,2.40 ,0.50 ,2.40 ,100.00 ,173.00 
印尼,54.90 ,36.30 ,6.30 ,2.10 ,0.30 ,100.00 ,323.00 
菲律賓,74.40 ,22.20 ,2.70 ,0.70 ,0.00 ,100.00 ,293.00 
越南,52.90 ,28.10 ,10.80 ,6.70 ,1.50 ,100.00 ,190.00 
俄羅斯,95.70 ,3.50 ,0.80 ,0.00 ,0.00 ,100.00 ,164.00 
其他,73.60 ,6.90 ,6.90 ,12.60 ,0.00 ,100.00 ,10.00 
